qtr,date,value,rate
1999Q1,30-Mar-99,143.21,6.1
1999Q2,30-Jun-99,2816.52,5.7
1999Q3,30-Sep-99,75.48,5.3
1999Q4,31-Dec-99,-813.98,4.9
2000Q1,30-Mar-00,1159.67,4.5
2000Q2,30-Jun-00,2975.34,4.3
2000Q3,30-Sep-00,811.02,3.9
2000Q4,31-Dec-00,244.36,3.7
2001Q1,30-Mar-01,770.98,3.7
2001Q2,30-Jun-01,1975.63,3.8
2001Q3,30-Sep-01,-347.60,4.2
2001Q4,31-Dec-01,-1265.31,4.1
2002Q1,30-Mar-02,-523.71,4.4
2002Q2,30-Jun-02,318.00,4.3
2002Q3,30-Sep-02,233.20,4.4
2002Q4,31-Dec-02,-481.08,5
2003Q1,30-Mar-03,-259.33,4.4
2003Q2,30-Jun-03,358.51,4.6
2003Q3,30-Sep-03,-257.01,4.7
2003Q4,31-Dec-03,768.37,4.6
2004Q1,30-Mar-04,878.19,4.9
2004Q2,30-Jun-04,785.10,4.3
2004Q3,30-Sep-04,-516.78,4.3
2004Q4,31-Dec-04,1008.27,4.4
2005Q1,30-Mar-05,816.22,4.3
2005Q2,30-Jun-05,-249.34,4.6
2005Q3,30-Sep-05,141.61,4.3
2005Q4,31-Dec-05,1962.21,4.3
2006Q1,30-Mar-06,2011.77,4.5
2006Q2,30-Jun-06,-367.22,4.6
2006Q3,30-Sep-06,-404.85,4.6
2006Q4,31-Dec-06,3922.60,4.4
2007Q1,30-Mar-07,1325.46,4.7
2007Q2,30-Jun-07,-1623.70,4.7
2007Q3,30-Sep-07,-2092.01,4.6
2007Q4,31-Dec-07,2686.29,5
2008Q1,30-Mar-08,-1898.48,5.2
2008Q2,30-Jun-08,-4588.63,6
2008Q3,30-Sep-08,-4197.02,7.3
2008Q4,31-Dec-08,-2624.49,8.5
2009Q1,30-Mar-09,-4785.28,11.2
2009Q2,30-Jun-09,-8118.69,12.3
2009Q3,30-Sep-09,-6453.03,13
2009Q4,31-Dec-09,-2824.02,13.1
2010Q1,30-Mar-10,-15853.74,13.3
2010Q2,30-Jun-10,-5533.20,13.8
2010Q3,30-Sep-10,-13590.84,14.3
2010Q4,31-Dec-10,-13417.72,14.9
2011Q1,30-Mar-11,-4017.07,14.3
2011Q2,30-Jun-11,-3418.58,14.6
2011Q3,30-Sep-11,-10825.69,15
2011Q4,31-Dec-11,-2956.98,15
2012Q1,30-Mar-12,-4293.36,15
2012Q2,30-Jun-12,-3460.42,14.8
2012Q3,30-Sep-12,-3019.88,14.8
2012Q4,31-Dec-12,-2447.34,14
2013Q1,30-Mar-13,-4359.10,13.7
2013Q2,30-Jun-13,-2046.52,13.6
2013Q3,30-Sep-13,-2897.69,12.6
2013Q4,31-Dec-13,-2201.16,12
